
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.134:3000

✓ Starting...
✓ Ready in 692ms
 GET /manifest.webmanifest 200 in 4ms (compile: 1730µs, render: 3ms)
 GET / 200 in 29ms (compile: 2ms, render: 27ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1725µs, render: 2ms)
 GET /principal 200 in 28ms (compile: 16ms, render: 13ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1866µs, render: 4ms)
 GET /principal/financeiro 200 in 68ms (compile: 55ms, render: 13ms)
 GET /manifest.webmanifest 200 in 8ms (compile: 2ms, render: 5ms)
 GET /principal/financeiro/empresa 404 in 90ms (compile: 49ms, render: 41ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 2ms, render: 2ms)
 GET /principal/financeiro 200 in 33ms (compile: 1995µs, render: 31ms)
✓ Compiled in 43ms
 GET / 200 in 31ms (compile: 3ms, render: 28ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 2ms, render: 3ms)
 GET /principal 200 in 12ms (compile: 1659µs, render: 10ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1951µs, render: 3ms)
 GET /principal/financeiro 200 in 83ms (compile: 58ms, render: 26ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1509µs, render: 3ms)
 GET /msinfor-admin 200 in 184ms (compile: 161ms, render: 23ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1794µs, render: 2ms)
✓ Compiled in 61ms
 GET / 200 in 27ms (compile: 2ms, render: 25ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1482µs, render: 3ms)
 GET /principal 200 in 13ms (compile: 2ms, render: 11ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1196µs, render: 2ms)
 GET /principal/financeiro 200 in 15ms (compile: 1724µs, render: 13ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1469µs, render: 2ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1169µs, render: 2ms)
 GET /principal/caixa 200 in 38ms (compile: 27ms, render: 11ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1245µs, render: 1930µs)
 GET /manifest.webmanifest 200 in 4ms (compile: 1902µs, render: 2ms)
 GET /principal/mensalidades 200 in 40ms (compile: 28ms, render: 12ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1146µs, render: 1771µs)
 GET /manifest.webmanifest 200 in 4ms (compile: 1915µs, render: 1814µs)
 GET /principal/financeiro 200 in 13ms (compile: 1522µs, render: 12ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1250µs, render: 2ms)
 GET /principal/financeiro/empresa 404 in 27ms (compile: 3ms, render: 24ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1889µs, render: 2ms)
 GET /principal/financeiro 200 in 70ms (compile: 1509µs, render: 68ms)
 GET /principal/financeiro/retornos 404 in 26ms (compile: 3ms, render: 23ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1734µs, render: 2ms)
 GET /principal/financeiro 200 in 27ms (compile: 1537µs, render: 26ms)
 GET /principal/financeiro/caixa 404 in 23ms (compile: 3ms, render: 20ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1914µs, render: 3ms)
 GET /principal/financeiro 200 in 29ms (compile: 1775µs, render: 27ms)
 GET /principal/financeiro/retornos 404 in 23ms (compile: 3ms, render: 20ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1496µs, render: 2ms)
 GET /principal/financeiro 200 in 27ms (compile: 1593µs, render: 25ms)
 GET /principal/financeiro/resumo 404 in 25ms (compile: 2ms, render: 23ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1691µs, render: 1965µs)
 GET /principal/financeiro 200 in 28ms (compile: 1644µs, render: 26ms)
 GET /principal/financeiro/lotes 404 in 24ms (compile: 2ms, render: 21ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 2ms, render: 2ms)
 GET /principal/financeiro 200 in 27ms (compile: 1653µs, render: 26ms)
 GET /principal 200 in 14ms (compile: 1859µs, render: 12ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1449µs, render: 2ms)
 GET /principal/alunos 200 in 244ms (compile: 229ms, render: 16ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1409µs, render: 3ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1189µs, render: 1799µs)
 GET /principal/mensalidades 200 in 10ms (compile: 1605µs, render: 9ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1475µs, render: 2ms)
 GET /principal 200 in 12ms (compile: 2ms, render: 10ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1690µs, render: 3ms)
 GET /principal/financeiro 200 in 12ms (compile: 1550µs, render: 10ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1460µs, render: 2ms)
 GET /principal 200 in 11ms (compile: 1706µs, render: 9ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1493µs, render: 3ms)
 GET /principal/financeiro 200 in 12ms (compile: 1514µs, render: 11ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1739µs, render: 2ms)
✓ Compiled in 37ms
 GET /principal 200 in 10ms (compile: 1863µs, render: 8ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1978µs, render: 1871µs)
 GET /principal/financeiro 200 in 84ms (compile: 59ms, render: 25ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1423µs, render: 3ms)
 GET /principal 200 in 10ms (compile: 1633µs, render: 9ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1714µs, render: 2ms)
 GET /principal/financeiro 200 in 11ms (compile: 1491µs, render: 10ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1250µs, render: 2ms)
 GET /principal/financeiro 404 in 175ms (compile: 57ms, render: 118ms)
 GET /principal/financeiro 404 in 96ms (compile: 4ms, render: 93ms)
 GET /principal/financeiro 404 in 21ms (compile: 4ms, render: 17ms)
 GET /manifest.webmanifest 200 in 38ms (compile: 32ms, render: 6ms)
 GET /principal/financeiro 404 in 123ms (compile: 10ms, render: 113ms)
 GET /principal/financeiro 200 in 248ms (compile: 190ms, render: 58ms)
 GET /principal/financeiro 200 in 81ms (compile: 1902µs, render: 79ms)
 GET /principal/financeiro 200 in 142ms (compile: 2ms, render: 140ms)
 GET /principal/financeiro 200 in 137ms (compile: 4ms, render: 133ms)
 GET /principal/financeiro 200 in 136ms (compile: 23ms, render: 113ms)
 GET /principal/financeiro 200 in 92ms (compile: 59ms, render: 33ms)
 GET /principal/financeiro 200 in 18ms (compile: 3ms, render: 15ms)
 GET /manifest.webmanifest 200 in 34ms (compile: 30ms, render: 4ms)
 GET /principal/financeiro 200 in 143ms (compile: 2ms, render: 141ms)
 GET /principal/financeiro 200 in 30ms (compile: 1737µs, render: 29ms)
 GET /principal/financeiro 200 in 24ms (compile: 1525µs, render: 23ms)
 GET /principal/financeiro 200 in 29ms (compile: 1459µs, render: 27ms)
